date,product,units_sold,unit_price
2025-01-01,Notebooks,44,2.5
2025-01-01,Pencils,77,0.5
2025-01-01,Backpacks,17,35.0
2025-01-01,Calculators,13,18.0
2025-01-01,Pencil Cases,23,8.0
2025-01-02,Notebooks,37,2.5
2025-01-02,Pencils,111,0.5
2025-01-02,Backpacks,17,35.0
2025-01-02,Calculators,8,18.0
2025-01-02,Pencil Cases,28,8.0
2025-01-03,Notebooks,35,2.5
2025-01-03,Pencils,70,0.5
2025-01-03,Backpacks,15,35.0
2025-01-03,Calculators,5,18.0
2025-01-03,Pencil Cases,14,8.0
2025-01-04,Notebooks,34,2.5
2025-01-04,Pencils,59,0.5
2025-01-04,Backpacks,16,35.0
2025-01-04,Calculators,7,18.0
2025-01-04,Pencil Cases,16,8.0
2025-01-05,Notebooks,54,2.5
2025-01-05,Pencils,75,0.5
2025-01-05,Backpacks,15,35.0
2025-01-05,Calculators,6,18.0
2025-01-05,Pencil Cases,21,8.0
2025-01-06,Notebooks,41,2.5
2025-01-06,Pencils,56,0.5
2025-01-06,Backpacks,16,35.0
2025-01-06,Calculators,8,18.0
2025-01-06,Pencil Cases,23,8.0
2025-01-07,Notebooks,33,2.5
2025-01-07,Pencils,117,0.5
2025-01-07,Backpacks,14,35.0
2025-01-07,Calculators,7,18.0
2025-01-07,Pencil Cases,30,8.0
2025-01-08,Notebooks,27,2.5
2025-01-08,Pencils,84,0.5
2025-01-08,Backpacks,7,35.0
2025-01-08,Calculators,6,18.0
2025-01-08,Pencil Cases,26,8.0
2025-01-09,Notebooks,47,2.5
2025-01-09,Pencils,83,0.5
2025-01-09,Backpacks,14,35.0
2025-01-09,Calculators,9,18.0
2025-01-09,Pencil Cases,15,8.0
2025-01-10,Notebooks,32,2.5
2025-01-10,Pencils,70,0.5
2025-01-10,Backpacks,18,35.0
2025-01-10,Calculators,10,18.0
2025-01-10,Pencil Cases,13,8.0
2025-01-11,Notebooks,43,2.5
2025-01-11,Pencils,72,0.5
2025-01-11,Backpacks,12,35.0
2025-01-11,Calculators,11,18.0
2025-01-11,Pencil Cases,31,8.0
2025-01-12,Notebooks,49,2.5
2025-01-12,Pencils,63,0.5
2025-01-12,Backpacks,13,35.0
2025-01-12,Calculators,10,18.0
2025-01-12,Pencil Cases,31,8.0
2025-01-13,Notebooks,35,2.5
2025-01-13,Pencils,76,0.5
2025-01-13,Backpacks,10,35.0
2025-01-13,Calculators,7,18.0
2025-01-13,Pencil Cases,30,8.0
2025-01-14,Notebooks,53,2.5
2025-01-14,Pencils,78,0.5
2025-01-14,Backpacks,18,35.0
2025-01-14,Calculators,10,18.0
2025-01-14,Pencil Cases,20,8.0
2025-01-15,Notebooks,43,2.5
2025-01-15,Pencils,110,0.5
2025-01-15,Backpacks,14,35.0
2025-01-15,Calculators,13,18.0
2025-01-15,Pencil Cases,8,8.0
2025-01-16,Notebooks,48,2.5
2025-01-16,Pencils,81,0.5
2025-01-16,Backpacks,13,35.0
2025-01-16,Calculators,10,18.0
2025-01-16,Pencil Cases,12,8.0
2025-01-17,Notebooks,37,2.5
2025-01-17,Pencils,87,0.5
2025-01-17,Backpacks,20,35.0
2025-01-17,Calculators,8,18.0
2025-01-17,Pencil Cases,19,8.0
2025-01-18,Notebooks,34,2.5
2025-01-18,Pencils,98,0.5
2025-01-18,Backpacks,16,35.0
2025-01-18,Calculators,8,18.0
2025-01-18,Pencil Cases,28,8.0
2025-01-19,Notebooks,40,2.5
2025-01-19,Pencils,99,0.5
2025-01-19,Backpacks,12,35.0
2025-01-19,Calculators,9,18.0
2025-01-19,Pencil Cases,22,8.0
2025-01-20,Notebooks,25,2.5
2025-01-20,Pencils,85,0.5
2025-01-20,Backpacks,15,35.0
2025-01-20,Calculators,10,18.0
2025-01-20,Pencil Cases,23,8.0
2025-01-21,Notebooks,25,2.5
2025-01-21,Pencils,71,0.5
2025-01-21,Backpacks,13,35.0
2025-01-21,Calculators,7,18.0
2025-01-21,Pencil Cases,23,8.0
2025-01-22,Notebooks,44,2.5
2025-01-22,Pencils,117,0.5
2025-01-22,Backpacks,15,35.0
2025-01-22,Calculators,10,18.0
2025-01-22,Pencil Cases,24,8.0
2025-01-23,Notebooks,20,2.5
2025-01-23,Pencils,79,0.5
2025-01-23,Backpacks,15,35.0
2025-01-23,Calculators,16,18.0
2025-01-23,Pencil Cases,23,8.0
2025-01-24,Notebooks,43,2.5
2025-01-24,Pencils,79,0.5
2025-01-24,Backpacks,10,35.0
2025-01-24,Calculators,12,18.0
2025-01-24,Pencil Cases,29,8.0
2025-01-25,Notebooks,47,2.5
2025-01-25,Pencils,61,0.5
2025-01-25,Backpacks,20,35.0
2025-01-25,Calculators,6,18.0
2025-01-25,Pencil Cases,28,8.0
2025-01-26,Notebooks,61,2.5
2025-01-26,Pencils,60,0.5
2025-01-26,Backpacks,12,35.0
2025-01-26,Calculators,10,18.0
2025-01-26,Pencil Cases,21,8.0
2025-01-27,Notebooks,24,2.5
2025-01-27,Pencils,81,0.5
2025-01-27,Backpacks,11,35.0
2025-01-27,Calculators,11,18.0
2025-01-27,Pencil Cases,19,8.0
2025-01-28,Notebooks,55,2.5
2025-01-28,Pencils,64,0.5
2025-01-28,Backpacks,13,35.0
2025-01-28,Calculators,12,18.0
2025-01-28,Pencil Cases,17,8.0
2025-01-29,Notebooks,42,2.5
2025-01-29,Pencils,106,0.5
2025-01-29,Backpacks,8,35.0
2025-01-29,Calculators,10,18.0
2025-01-29,Pencil Cases,26,8.0
2025-01-30,Notebooks,47,2.5
2025-01-30,Pencils,55,0.5
2025-01-30,Backpacks,10,35.0
2025-01-30,Calculators,11,18.0
2025-01-30,Pencil Cases,26,8.0
2025-01-31,Notebooks,42,2.5
2025-01-31,Pencils,86,0.5
2025-01-31,Backpacks,12,35.0
2025-01-31,Calculators,10,18.0
2025-01-31,Pencil Cases,26,8.0
2025-02-01,Notebooks,32,2.5
2025-02-01,Pencils,117,0.5
2025-02-01,Backpacks,16,35.0
2025-02-01,Calculators,7,18.0
2025-02-01,Pencil Cases,29,8.0
2025-02-02,Notebooks,30,2.5
2025-02-02,Pencils,95,0.5
2025-02-02,Backpacks,19,35.0
2025-02-02,Calculators,7,18.0
2025-02-02,Pencil Cases,31,8.0
2025-02-03,Notebooks,44,2.5
2025-02-03,Pencils,96,0.5
2025-02-03,Backpacks,22,35.0
2025-02-03,Calculators,9,18.0
2025-02-03,Pencil Cases,20,8.0
2025-02-04,Notebooks,31,2.5
2025-02-04,Pencils,63,0.5
2025-02-04,Backpacks,14,35.0
2025-02-04,Calculators,10,18.0
2025-02-04,Pencil Cases,26,8.0
2025-02-05,Notebooks,48,2.5
2025-02-05,Pencils,80,0.5
2025-02-05,Backpacks,20,35.0
2025-02-05,Calculators,9,18.0
2025-02-05,Pencil Cases,42,8.0
2025-02-06,Notebooks,46,2.5
2025-02-06,Pencils,62,0.5
2025-02-06,Backpacks,10,35.0
2025-02-06,Calculators,11,18.0
2025-02-06,Pencil Cases,23,8.0
2025-02-07,Notebooks,47,2.5
2025-02-07,Pencils,89,0.5
2025-02-07,Backpacks,14,35.0
2025-02-07,Calculators,7,18.0
2025-02-07,Pencil Cases,15,8.0
2025-02-08,Notebooks,35,2.5
2025-02-08,Pencils,97,0.5
2025-02-08,Backpacks,15,35.0
2025-02-08,Calculators,6,18.0
2025-02-08,Pencil Cases,26,8.0
2025-02-09,Notebooks,43,2.5
2025-02-09,Pencils,62,0.5
